recording,episode_id,start_frame,end_frame,start_index,end_index,duration_frames,max_sni,mean_sni
25_assy_0_1,0,000022.jpg,000075.jpg,22,75,54,0.8165851550507855,0.7445842930212508
25_assy_0_1,1,000091.jpg,000106.jpg,91,106,16,0.72113034195458,0.6873417067970224
25_assy_0_1,2,000112.jpg,000114.jpg,112,114,3,0.64573419747841,0.6396083752124962
25_assy_0_1,3,000145.jpg,000169.jpg,145,169,25,0.731788801156691,0.6787530105517573
25_assy_0_1,4,000171.jpg,000172.jpg,171,172,2,0.6271307828691779,0.6256992996195201
25_assy_0_1,5,000200.jpg,000200.jpg,200,200,1,0.6266890474179511,0.6266890474179511
25_assy_0_1,6,000207.jpg,000231.jpg,207,231,25,0.6837971239239,0.6644460616278133
25_assy_0_1,7,000368.jpg,000375.jpg,368,375,8,0.641911977768799,0.6337991860782589
25_assy_0_1,8,000498.jpg,000511.jpg,498,511,14,0.6681778773522017,0.6560016743768156
25_assy_0_1,9,000518.jpg,000521.jpg,518,521,4,0.633980117645166,0.6294848851125274
25_assy_0_1,10,000526.jpg,000529.jpg,526,529,4,0.627554263990134,0.6242758420699691
25_assy_0_1,11,000554.jpg,000577.jpg,554,577,24,0.6656118543508064,0.6512423092182574
25_assy_0_1,12,000645.jpg,000646.jpg,645,646,2,0.6223652166929253,0.6222839796214135
25_assy_0_1,13,000765.jpg,000784.jpg,765,784,20,0.7758974569220698,0.742880665670669
25_assy_0_1,14,000796.jpg,000808.jpg,796,808,13,0.6485315826447052,0.6383762952435202
25_assy_0_1,15,000878.jpg,000884.jpg,878,884,7,0.7006658291473404,0.677301138055857
25_assy_0_1,16,000903.jpg,000907.jpg,903,907,5,0.6401994801442821,0.6306068466028047
25_assy_0_1,17,000915.jpg,000918.jpg,915,918,4,0.6442241849932616,0.640174255409106
25_assy_0_1,18,001141.jpg,001151.jpg,1141,1151,11,0.7363106676037348,0.7026025252972041
25_assy_0_1,19,001257.jpg,001280.jpg,1257,1280,24,0.6757150578494069,0.6527489198588795
25_assy_0_1,20,001421.jpg,001421.jpg,1421,1421,1,0.6240279427624109,0.6240279427624109
25_assy_0_1,21,001423.jpg,001428.jpg,1423,1428,6,0.6355057892302985,0.6322651471988624
25_assy_0_1,22,001430.jpg,001431.jpg,1430,1431,2,0.6327829756840945,0.6283883033722952
25_assy_0_1,23,001438.jpg,001440.jpg,1438,1440,3,0.6438235375080507,0.6330049562363779
