recording,episode_id,start_frame,end_frame,start_index,end_index,duration_frames,max_sni,mean_sni
25_assy_2_1,0,000023.jpg,000065.jpg,23,65,43,0.7245829470943779,0.6710074808857213
25_assy_2_1,1,000068.jpg,000068.jpg,68,68,1,0.6324157005790276,0.6324157005790276
25_assy_2_1,2,000070.jpg,000073.jpg,70,73,4,0.6428491328323985,0.6353533825027625
25_assy_2_1,3,000080.jpg,000094.jpg,80,94,15,0.665860287343437,0.653302237141677
25_assy_2_1,4,000167.jpg,000178.jpg,167,178,12,0.6700900326159657,0.6544256117039985
25_assy_2_1,5,000298.jpg,000365.jpg,298,365,68,0.7259451521067875,0.6791765049156763
25_assy_2_1,6,000405.jpg,000432.jpg,405,432,28,0.7332612381491503,0.696298597794845
25_assy_2_1,7,000529.jpg,000562.jpg,529,562,34,0.6898315374212416,0.6603438976682695
25_assy_2_1,8,000567.jpg,000590.jpg,567,590,24,0.6822394733835985,0.6452679918578096
25_assy_2_1,9,000637.jpg,000637.jpg,637,637,1,0.6301815565670642,0.6301815565670642
25_assy_2_1,10,000639.jpg,000640.jpg,639,640,2,0.6317140457592031,0.628475220102724
25_assy_2_1,11,000743.jpg,000746.jpg,743,746,4,0.6365412864828595,0.6325699436716361
25_assy_2_1,12,000843.jpg,000868.jpg,843,868,26,0.7232333522552176,0.6829351771915184
25_assy_2_1,13,001015.jpg,001044.jpg,1015,1044,30,0.6961423493948499,0.6627600700164995
25_assy_2_1,14,001057.jpg,001060.jpg,1057,1060,4,0.6438029524482516,0.640968923864178
