recording,episode_id,start_frame,end_frame,start_index,end_index,duration_frames,max_sni,mean_sni
22_assy_0_1,0,000114.jpg,000117.jpg,114,117,4,0.6519202152098413,0.646186110659708
22_assy_0_1,1,000126.jpg,000131.jpg,126,131,6,0.655860295321005,0.6452893265456119
22_assy_0_1,2,000139.jpg,000141.jpg,139,141,3,0.6374041077157714,0.6338209492097117
22_assy_0_1,3,000143.jpg,000145.jpg,143,145,3,0.6404138472237075,0.6351322312623409
22_assy_0_1,4,000354.jpg,000403.jpg,354,403,50,0.7311574366140736,0.6885853447135675
22_assy_0_1,5,000474.jpg,000488.jpg,474,488,15,0.6614957182806028,0.644810553493205
22_assy_0_1,6,000497.jpg,000505.jpg,497,505,9,0.6691864697127206,0.6553025391777283
22_assy_0_1,7,000507.jpg,000526.jpg,507,526,20,0.6918791671495945,0.6634559667381216
22_assy_0_1,8,000553.jpg,000581.jpg,553,581,29,0.749749884370833,0.6932686967292032
22_assy_0_1,9,000730.jpg,000742.jpg,730,742,13,0.6414565839579869,0.6373640153482142
22_assy_0_1,10,000864.jpg,000882.jpg,864,882,19,0.7111163532243272,0.6815476960237258
22_assy_0_1,11,001077.jpg,001084.jpg,1077,1084,8,0.6541752023615496,0.6413193636417993
22_assy_0_1,12,001086.jpg,001086.jpg,1086,1086,1,0.6261817085762463,0.6261817085762463
22_assy_0_1,13,001113.jpg,001157.jpg,1113,1157,45,0.7692131761586074,0.7195347559163846
22_assy_0_1,14,001269.jpg,001295.jpg,1269,1295,27,0.7084471674297446,0.6750272165611876
22_assy_0_1,15,001313.jpg,001324.jpg,1313,1324,12,0.6664846008867767,0.6492502051146464
22_assy_0_1,16,001405.jpg,001425.jpg,1405,1425,21,0.6768472828311539,0.6534680345868422
22_assy_0_1,17,001457.jpg,001499.jpg,1457,1499,43,0.7843897869379483,0.7065678915600228
22_assy_0_1,18,001511.jpg,001529.jpg,1511,1529,19,0.7194541464117814,0.6767829400311425
22_assy_0_1,19,001534.jpg,001535.jpg,1534,1535,2,0.6306849588453117,0.6284785053626809
22_assy_0_1,20,001685.jpg,001702.jpg,1685,1702,18,0.6914976869305947,0.6642380882401877
22_assy_0_1,21,001730.jpg,001752.jpg,1730,1752,23,0.7366894167989309,0.697284278510267
22_assy_0_1,22,001783.jpg,001783.jpg,1783,1783,1,0.6294989252778481,0.6294989252778481
22_assy_0_1,23,001968.jpg,001979.jpg,1968,1979,12,0.6646222510581801,0.6475316965166896
22_assy_0_1,24,002033.jpg,002064.jpg,2033,2064,32,0.7032026402289003,0.6718398568740291
22_assy_0_1,25,002169.jpg,002171.jpg,2169,2171,3,0.629759850043408,0.628049272708849
22_assy_0_1,26,002320.jpg,002336.jpg,2320,2336,17,0.6712235592105923,0.6522601493491957
22_assy_0_1,27,002425.jpg,002449.jpg,2425,2449,25,0.6658159099652453,0.6468602097727013
22_assy_0_1,28,002690.jpg,002692.jpg,2690,2692,3,0.6494337643773482,0.6424190898496768
